1	16	E
2	30	E
3	7	E
4	47	E
5	29	E
6	8	E
7	39	E
8	37	E
9	32	E
10	29	E
11	17	E
12	11	E
13	32	E
14	15	E
15	53	L
16	53	R
17	8	E
18	24	L
19	24	R
20	8	E
21	7	R
22	8	L
23	14	L
24	13	R
25	10	R
26	25	R
27	11	L
28	25	L
29	11	E
30	29	R
31	25	E
32	10	L
33	14	R
34	41	L
35	42	R
36	47	R
37	7	R
38	80	R
39	7	R
40	41	R
41	47	R
42	16	L
43	32	L
44	66	L
45	80	L
46	7	L
47	41	L
48	13	E
49	47	L
50	33	E
51	34	L
52	11	L
53	118	L
54	25	L
55	7	R
56	28	E
57	12	L
58	52	L
59	14	E
60	3	E
61	3	E
62	8	E
63	16	E
64	33	R
65	8	E
66	18	E
67	10	E
68	14	E
69	28	R
70	11	R
71	118	R
72	25	R
73	40	E
74	40	E
75	101	E
76	5	E
77	28	E
78	8	E
79	281	E
80	7	E
81	26	E
82	10	E
83	21	E
84	26	E
85	20	E
86	21	E
87	47	E
88	23	E
89	13	E
90	19	E
91	115	E
92	35	E
93	26	L
94	46	E
95	20	E
96	31	E
97	19	E
98	34	E
99	51	E
100	39	E
101	30	E
102	26	E
103	13	E
104	45	E
105	58	E
106	28	E
107	8	E
108	383	E
109	40	E
110	34	E
111	23	E
112	162	L
113	11	L
114	19	E
115	14	E
116	31	E
117	32	E
118	26	E
119	55	E
120	31	E
121	32	E
122	26	E
123	19	E
124	14	E
125	19	E
126	48	E
127	55	E
128	8	L
129	11	L
130	27	L
131	18	L
132	36	E
133	23	L
134	20	R
135	46	E
136	64	E
137	22	L
138	15	E
139	34	E
140	22	E
141	151	L
142	148	R
143	64	L
144	170	L
145	137	R
146	64	R
147	78	L
148	78	R
