1	692	E 
2	42	E 
3	261	R 
4	261	L 
5	157	E 
6	90	E 
7	54	R 
8	67	R 
9	30	R 
10	106	R 
11	32	R 
12	62	R 
13	54	L 
14	67	L 
15	30	L 
16	106	L 
17	32	L 
18	62	L 
19	56	E 
20	67	E 
21	86	E 
22	37	E 
23	41	E 
24	72	E 
25	86	R 
26	16	L 
27	51	R 
28	66	R 
29	41	R 
30	72	R 
31	51	R 
32	16	R 
33	15	R 
34	15	L 
35	85	E 
36	59	E 
37	23	L 
38	13	L 
39	19	L 
40	108	E 
41	214	E 
42	80	E 
43	37	L 
44	84	L 
45	18	L 
46	12	L 
47	29	L 
48	37	L 
49	13	L 
50	70	L 
51	217	L 
52	72	L 
53	85	L 
54	43	R 
55	97	R 
56	37	R 
57	13	R 
58	35	R 
59	217	R 
60	72	R 
61	85	R 
62	25	E 
63	37	E 
64	37	E 
65	103	E 
66	140	E 
67	49	E 
68	35	E 
69	51	E 
70	88	E 
71	53	E 
72	144	E 
73	337	E 
74	107	E 
75	371	E 
76	97	E 
77	166	E 
78	92	L 
79	92	R 
80	106	E 
81	49	E 
82	92	E 
83	371	E 
84	87	E 
85	162	E 
86	96	E 
87	79	E 
88	96	E 
89	42	E 
90	88	R 
91	90	R 
92	97	R 
93	270	R 
94	452	E 
95	48	R 
96	338	E 
97	34	E 
98	65	E 
99	50	E 
100	112	E 
101	48	E 
102	117	E 
103	50	E 
104	68	R 
105	232	L 
106	122	L 
107	151	E 
108	31	L 
109	97	E 
110	308	R 
111	116	L 
112	312	R 
113	34	E 
114	128	L 
115	54	E 
116	175	R 
117	55	E 
118	306	E 
119	59	E 
120	59	E 
121	66	E 
122	66	E 
123	23	E 
124	244	E 
125	54	E 
126	294	R 
127	84	E 
128	61	E 
129	57	E 
130	38	R 
131	944	E 
132	511	R 
133	625	R 
134	445	R 
135	68	L 
136	53	L 
137	49	E 
138	92	E 
139	236	E 
140	116	L 
141	265	L 
142	149	L 
143	74	L 
144	332	E 
145	324	E 
146	104	L 
147	51	L 
148	58	R 
149	67	R 
150	49	R 
151	107	E 
152	38	L 
153	27	L 
154	68	E 
155	207	E 
156	202	E 
157	83	E 
158	35	R 
159	58	R 
160	42	E 
161	68	R 
162	68	R 
163	68	R 
164	103	R 
165	103	R 
166	103	R 
167	103	R 
168	103	R 
169	68	L 
170	103	L 
171	68	L 
172	103	L 
173	103	L 
174	68	L 
175	103	L 
176	103	L 
177	10	E 
178	187	E 
179	134	L 
180	89	L 
181	58	L 
182	49	L 
183	134	L 
184	53	L 
185	334	E 
186	24	R 
187	76	R 
188	76	L 
189	192	E 
190	98	E 
191	258	R 
192	165	E 
193	38	R 
194	115	E 
195	83	L 
196	56	R 
197	29	R 
198	303	R 
199	18	R 
200	29	R 
201	154	L 
202	90	L 
203	93	L 
204	94	E 
205	165	E 
