1	49	E
2	49	E
3	71	E
4	42	E
5	42	E
6	30	E
7	167	R
8	91	R
9	52	L
10	153	L
11	68	E
12	52	E
13	135	E
14	54	E
15	57	E
16	151	L
17	39	L
18	194	R
19	35	R
20	119	E
21	34	E
22	38	E
23	104	E
24	84	E
25	113	L
26	72	R
27	62	R
28	272	R
29	89	L
30	49	L
31	11	E
32	45	E
33	54	E
34	106	E
35	132	R
36	52	E
37	157	E
38	109	E
39	32	E
40	32	R
41	52	E
42	193	E
43	34	E
44	34	R
45	97	L
46	37	L
47	25	L
48	89	L
49	27	E
50	50	E
51	46	R
52	46	E
53	55	L
54	118	E
55	47	R
56	164	E
57	113	E
58	69	L
59	30	R
60	25	E
61	206	R
62	23	E
63	118	L
64	155	L
65	65	E
